NAME	TITLE	SCORE	
SSRP1	n/a	1.1720514	
RCC2	n/a	1.1708397	
SLC25A39	n/a	1.1705939	
FEN1	n/a	1.1701562	
CERCAM	n/a	1.1700009	
RPAP3	n/a	1.1694639	
MYEF2	n/a	1.1676538	
MRPL13	n/a	1.167035	
NDUFS2	n/a	1.1669512	
YWHAZ	n/a	1.1662685	
ZNF485	n/a	1.1661144	
POT1	n/a	1.1654046	
EIF6	n/a	1.1653641	
DDX56	n/a	1.1649933	
H2AFY	n/a	1.1646017	
NR2F6	n/a	1.1632096	
LTBR	n/a	1.1615508	
THOC6	n/a	1.1613768	
RNF113A	n/a	1.159584	
TRMT112	n/a	1.156026	
MANF	n/a	1.1552079	
TPD52	n/a	1.1544102	
NME2	n/a	1.1543509	
NUBP2	n/a	1.154338	
UBA1	n/a	1.1540536	
DERL3	n/a	1.1540002	
C8orf30A	n/a	1.1525263	
PRICKLE1	n/a	1.1513245	
PRCC	n/a	1.1512619	
COL5A2	n/a	1.1504911	
USP21	n/a	1.150246	
MAD2L1	n/a	1.1493853	
TPM3	n/a	1.14922	
COPG	n/a	1.1489843	
MORF4L2	n/a	1.148916	
SNRPB	n/a	1.1487075	
TRAIP	n/a	1.1481714	
ADNP	n/a	1.1480429	
CDK5R1	n/a	1.1478161	
TAF6	n/a	1.1476557	
FBXL6	n/a	1.1465998	
DNAJC9	n/a	1.1462061	
FUT5	n/a	1.1454711	
ZNF668	n/a	1.1441332	
CDCA5	n/a	1.1418059	
SH3PXD2B	n/a	1.1411517	
CTXN2	n/a	1.1398835	
C1orf43	n/a	1.1397269	
LRRC15	n/a	1.1396216	
GGCT	n/a	1.1395636	
RAB25	n/a	1.1393497	
NSUN5	n/a	1.1381708	
C16orf53	n/a	1.1367493	
PUS1	n/a	1.1363451	
USP5	n/a	1.1356182	
POLR2K	n/a	1.1344455	
KCNN1	n/a	1.1343094	
AP4M1	n/a	1.1326298	
NHP2	n/a	1.1319438	
DAP3	n/a	1.1302739	
PSMB3	n/a	1.1301713	
ST3GAL4	n/a	1.1296047	
GBA	n/a	1.1281949	
STK32C	n/a	1.1280422	
CHCHD6	n/a	1.1280082	
PKM2	n/a	1.1279455	
JMJD4	n/a	1.1278292	
C20orf24	n/a	1.127086	
OVOL2	n/a	1.1257849	
MIF	n/a	1.1254846	
TMEM206	n/a	1.1246923	
RRS1	n/a	1.1246284	
ZWINT	n/a	1.1239326	
MYBPH	n/a	1.1224269	
GGPS1	n/a	1.122317	
GSK3A	n/a	1.1220499	
TUBA1C	n/a	1.1218208	
COPE	n/a	1.120916	
KDM5C	n/a	1.1208998	
TRRAP	n/a	1.1208259	
BAX	n/a	1.1207308	
TFR2	n/a	1.1198637	
RAB36	n/a	1.1197486	
CLEC5A	n/a	1.1196158	
IFI30	n/a	1.1194266	
C8orf38	n/a	1.1186935	
RGS10	n/a	1.1181045	
NUP210	n/a	1.1178149	
POLR3D	n/a	1.1168232	
LINGO1	n/a	1.115668	
ZDHHC13	n/a	1.1155998	
LAS1L	n/a	1.1154032	
CDK4	n/a	1.1153774	
NOXO1	n/a	1.1152141	
FAM83D	n/a	1.1145977	
YARS	n/a	1.1143278	
ZWILCH	n/a	1.1133289	
PLXNA3	n/a	1.1133207	
SDC1	n/a	1.1128472	
TACC3	n/a	1.111956	
TCTEX1D2	n/a	1.1114063	
DYRK2	n/a	1.1108874	
GNL3	n/a	1.1083837	
PHTF2	n/a	1.1078265	
E2F8	n/a	1.1076188	
RUNDC3A	n/a	1.1073742	
WRNIP1	n/a	1.1064906	
RHPN1	n/a	1.1057453	
FN1	n/a	1.105243	
EMD	n/a	1.1046726	
LSG1	n/a	1.1046473	
RUNX2	n/a	1.1041285	
GPR89A	n/a	1.1038991	
SPNS1	n/a	1.1023158	
SAMD4B	n/a	1.1022532	
RIPK2	n/a	1.1019351	
ZNF598	n/a	1.1019229	
C12orf70	n/a	1.1017541	
C1orf107	n/a	1.1009979	
SLC20A1	n/a	1.1006093	
HN1L	n/a	1.0995026	
EBNA1BP2	n/a	1.0993621	
CCDC64	n/a	1.0992281	
KIF4B	n/a	1.0990928	
CDC25B	n/a	1.0990018	
ATP6AP1	n/a	1.0980046	
ABHD11	n/a	1.0974439	
TMEM158	n/a	1.0969652	
ZNF444	n/a	1.0967427	
LSM4	n/a	1.0964003	
KIAA1549	n/a	1.0958673	
GAPDH	n/a	1.0951566	
KPNA2	n/a	1.095153	
KDELC1	n/a	1.0950778	
CYFIP2	n/a	1.0950584	
TOMM34	n/a	1.09483	
CXCL11	n/a	1.0947208	
S100A16	n/a	1.0942293	
TARS	n/a	1.093574	
FZD2	n/a	1.0929538	
DKC1	n/a	1.0927964	
DHX37	n/a	1.0927916	
SIX4	n/a	1.0909473	
KRTAP2	n/a	1.0909296	
TLL2	n/a	1.0906403	
MED14	n/a	1.0899992	
EME1	n/a	1.0899872	
SMARCC1	n/a	1.0897777	
SLC8A2	n/a	1.0896538	
ATXN2L	n/a	1.0885422	
FANCD2	n/a	1.0870624	
YY1AP1	n/a	1.0853356	
MLF2	n/a	1.0853152	
ECE2	n/a	1.0835545	
PSMD10	n/a	1.0832214	
COPA	n/a	1.0830232	
NENF	n/a	1.0829629	
TRIM24	n/a	1.0829221	
SPAG5	n/a	1.082057	
NRSN1	n/a	1.081801	
TOP1	n/a	1.0815481	
RPLP0P2	n/a	1.0812178	
CENPF	n/a	1.0810313	
UBQLN4	n/a	1.079341	
HIST1H3B	n/a	1.0791557	
VARS2	n/a	1.079023	
EIF2S3	n/a	1.0788482	
PDE7A	n/a	1.0781736	
CHMP4C	n/a	1.0767473	
CD9	n/a	1.0747862	
BUD31	n/a	1.0746037	
CENPE	n/a	1.0746002	
FRAT2	n/a	1.074171	
PTPRN	n/a	1.0740179	
SLC7A11	n/a	1.0736996	
ZNF816A	n/a	1.0728517	
RAET1K	n/a	1.072777	
TNNT1	n/a	1.0719242	
MSH6	n/a	1.0717082	
PRELID1	n/a	1.0704888	
METTL13	n/a	1.0704651	
FTSJ1	n/a	1.0695865	
CCT6A	n/a	1.0685338	
CSE1L	n/a	1.066792	
DKFZp434J0226	n/a	1.0662249	
PLAC1	n/a	1.0648482	
KIF4A	n/a	1.0644199	
LCMT1	n/a	1.063238	
RAB2A	n/a	1.0629838	
ZP3	n/a	1.0612168	
TSEN54	n/a	1.0611403	
S100A14	n/a	1.06114	
LPPR2	n/a	1.0606408	
ESPL1	n/a	1.0603013	
PYY2	n/a	1.0599569	
IGFL2	n/a	1.0597748	
HOXC13	n/a	1.0588166	
VAV2	n/a	1.0582036	
GARS	n/a	1.0575598	
TUFT1	n/a	1.0575515	
INHBA	n/a	1.0571808	
COL3A1	n/a	1.0569916	
UBAP2L	n/a	1.0560273	
ZNF768	n/a	1.0554056	
KDM2B	n/a	1.055188	
C19orf48	n/a	1.055081	
LEPRE1	n/a	1.0544068	
ENC1	n/a	1.0543461	
FAM84B	n/a	1.0539731	
GPRIN1	n/a	1.0537971	
STK3	n/a	1.0534191	
HFE2	n/a	1.0522119	
GDI1	n/a	1.0516458	
C20orf20	n/a	1.0510974	
PPP1R14B	n/a	1.0507523	
PRSS53	n/a	1.050693	
TMEM45A	n/a	1.0505586	
CST6	n/a	1.049992	
PRPF19	n/a	1.0499045	
CCL11	n/a	1.0494062	
PA2G4P4	n/a	1.0493927	
TRIM11	n/a	1.0488923	
GSK3B	n/a	1.0488143	
SLC38A5	n/a	1.0476744	
RAB15	n/a	1.0475518	
ZNF146	n/a	1.0471592	
NME1	n/a	1.04663	
MKI67	n/a	1.0455605	
TRABD	n/a	1.0447767	
LEPREL2	n/a	1.0446521	
MOCS3	n/a	1.04375	
DCAF13	n/a	1.0435742	
LOC100133669	n/a	1.0435104	
HCFC1R1	n/a	1.0431602	
PPP1CA	n/a	1.0427512	
C19orf45	n/a	1.0422995	
NPM1	n/a	1.0422871	
LOC100125556	n/a	1.041955	
AP1S1	n/a	1.0418004	
NFE2L3	n/a	1.0417057	
RAB8A	n/a	1.0410451	
RINT1	n/a	1.0410227	
C4orf26	n/a	1.0410218	
KDM1A	n/a	1.0408297	
SPAG1	n/a	1.0407362	
CBX8	n/a	1.0405961	
KCNH2	n/a	1.0394647	
ZNF702P	n/a	1.0394287	
CCDC52	n/a	1.0392891	
KIFAP3	n/a	1.0383645	
SDF2L1	n/a	1.0371267	
TRIM28	n/a	1.036359	
PKP3	n/a	1.0359253	
KDELR2	n/a	1.0353587	
PTDSS1	n/a	1.0350833	
SSR2	n/a	1.0337092	
FAM195A	n/a	1.0334283	
UBE2M	n/a	1.032975	
UMPS	n/a	1.0327952	
ATXN10	n/a	1.0311804	
SLC35A2	n/a	1.0309421	
MAGED1	n/a	1.030666	
C2orf29	n/a	1.029367	
ESCO2	n/a	1.0292417	
UTP14A	n/a	1.0281967	
RANBP1	n/a	1.027407	
C10orf95	n/a	1.0268936	
ABHD12	n/a	1.0268453	
FADS6	n/a	1.0267049	
RRP12	n/a	1.026072	
B3GNT4	n/a	1.0255938	
VCAN	n/a	1.0231353	
DDX49	n/a	1.0225911	
HDGFRP3	n/a	1.0224359	
WDR90	n/a	1.0223446	
PUSL1	n/a	1.0219598	
CCT2	n/a	1.0211495	
CSNK2A1	n/a	1.0208783	
ODF2	n/a	1.0194283	
MGC16121	n/a	1.0193616	
USP39	n/a	1.0189148	
POLA2	n/a	1.0187442	
CCR3	n/a	1.0187368	
INHBE	n/a	1.0179101	
GTF3C1	n/a	1.0177904	
ARMC10	n/a	1.0172733	
ECT2	n/a	1.0168992	
MXD3	n/a	1.0156089	
FKBP10	n/a	1.0143317	
LDHC	n/a	1.0138582	
BZW2	n/a	1.0133697	
CRNKL1	n/a	1.013083	
C11orf9	n/a	1.0130258	
TPX2	n/a	1.0123541	
OSBPL3	n/a	1.0117794	
HIST2H4A	n/a	1.0114287	
FZD6	n/a	1.0102869	
COPS6	n/a	1.0102742	
PRDM1	n/a	1.0095794	
SRXN1	n/a	1.0093722	
HEATR1	n/a	1.0087627	
GJB2	n/a	1.0072427	
HPRT1	n/a	1.0068779	
UBE2S	n/a	1.0065774	
PIK3R6	n/a	1.0054346	
WDR66	n/a	1.0054244	
RAE1	n/a	1.0054095	
C16orf93	n/a	1.0052465	
SETDB1	n/a	1.0043722	
SEC61A1	n/a	1.0039217	
BRMS1	n/a	1.0035865	
SFXN1	n/a	1.0035194	
SLC24A2	n/a	1.0027645	
NAT14	n/a	1.0027257	
HMP19	n/a	1.00238	
C1orf135	n/a	1.0022544	
PPIB	n/a	1.0022495	
PCNA	n/a	1.0018941	
UBE2V1	n/a	1.0018834	
TFG	n/a	1.0015123	
MRPS26	n/a	1.0003939	
FLYWCH2	n/a	1.000151	
CKAP5	n/a	1.0001103	
ZNF48	n/a	0.99942726	
TMEM90B	n/a	0.99813336	
RBM10	n/a	0.99688894	
SLC25A41	n/a	0.99670523	
TIMM16	n/a	0.9966576	
PIK3R2	n/a	0.99646753	
OSM	n/a	0.9959449	
RAB13	n/a	0.9958803	
MAPRE1	n/a	0.9956139	
OCIAD2	n/a	0.99501383	
HMGB3	n/a	0.99489427	
NOL6	n/a	0.99472016	
PPP2R2C	n/a	0.99434656	
IPO4	n/a	0.9942137	
CCDC99	n/a	0.99412173	
HOMER2	n/a	0.99407566	
GTF3C2	n/a	0.99319506	
TXNDC17	n/a	0.9931479	
TAF1A	n/a	0.99272156	
CTXN1	n/a	0.9924668	
CLEC11A	n/a	0.9921989	
MRPL14	n/a	0.9921319	
RHBG	n/a	0.99162203	
ZNF75A	n/a	0.9902446	
MRPS35	n/a	0.99014866	
TMEM208	n/a	0.9892487	
SGOL1	n/a	0.9890835	
MTFR1	n/a	0.988982	
ICOSLG	n/a	0.9878961	
CCT3	n/a	0.9878691	
HDGF	n/a	0.9877792	
BCCIP	n/a	0.9874897	
XRCC2	n/a	0.9872072	
CORIN	n/a	0.9869688	
SLC6A10P	n/a	0.98695093	
FAM83H	n/a	0.9865006	
PSMG3	n/a	0.985834	
CDK2	n/a	0.9848436	
ARF4	n/a	0.98476225	
