id	Normal	Tumor
KIAA1826	1063.37673759657	784.714595453085
FLJ33630	1421.5552260054	960.591272205989
SYNGR4	1.29479738316757	7.09075701994538
AHSA2	1049.43614754484	672.785506434909
TMPRSS3	367.35340054465	1189.61545851832
UQCR10	2919.60592290846	4448.93297312505
CTSH	3886.28381089248	6437.78109663154
CYP2C19	3.3119430740719	0
TIMP2	48432.6632355632	28380.5388193955
MSL3	1439.87474766369	2200.27743449772
TRIM62	467.233501810618	736.128693883838
MICAL1	839.180963344857	1313.90268895096
ZNF625	90.2912201686138	56.3011737189132
LGSN	0.284877684328081	2.12435313135148
MTA1	2183.77715915691	3400.45219454894
PPIL6	157.371819844722	288.396744094965
CUEDC2	1590.60753388948	2019.9028655576
RNASE13	2.62819475565535	0.579223159176193
CWF19L1	1211.53723251414	1623.87871677275
RPL13AP3	17.1371958288256	30.556031499439
CAPN1	6855.24372151044	10706.7715565596
JUN	22801.0023645426	11551.3957212333
PRDX2	8492.32177863661	11766.9803879785
SMARCE1	7303.22539965523	12138.3647560363
LMO4	3391.59672204112	6708.83555260873
ACD	623.580912809836	967.840517803622
FMNL2	4587.4482198441	2475.2677364406
FOXC1	1285.92002376156	3195.62025558737
AAK1	3716.72253721301	2594.8454126507
COMTD1	143.254646902375	239.638977566772
HYOU1	6306.62706235698	10043.2271782129
KCNJ6	6.01984171983355	18.7890579610226
SIRPB2	162.366863246476	89.0241129828514
SFTPA1	3.48579687490035	0.443390197762893
C17orf104	26.1128457819971	49.8791947439251
THUMPD3	2250.74683158465	3057.1428960176
GTF2H4	811.874947664603	1218.0438281766
SNAP29	3098.89623172566	4970.92430912008
TRPV2	779.138365520154	490.61203275107
C20orf96	532.443682179016	725.494400165641
RIMBP2	88.0415985799797	27.2175155764976
PPP1R12A	4795.70247498517	3633.14575920026
NAPG	1882.64260106765	1504.11905369039
C9orf98	100.100390277601	233.574080314836
C20orf195	6.92068170428276	18.6201662926579
LOC100133957	11.9287873747374	19.9664709548256
PIN4	681.772131292839	929.115105309188
MCEE	557.390976518648	363.083475813221
POLR2J4	502.921527247778	709.419024063541
DEGS2	567.972485577091	1594.3885651704
FBXO15	62.102226958379	149.143448279747
MTF2	1048.71593157042	1679.56726837352
TIPARP	5076.10929231233	2643.69898056357
SUZ12	2465.62093779419	3288.73272871952
TMX2	4555.93607285066	5527.29803847579
CLIC1	12436.863911204	17113.8260202402
ENHO	49.8266330258524	106.895599158308
ARSG	492.7657953789	1123.46281347611
CLIC4	21160.6030251901	15353.8657166719
EPHA5	12.4141858020408	3.65880949477772
TMEM44	504.741668470074	370.966311574415
ACR	18.3242178403498	8.96953482677298
C19orf43	3101.86654904612	4707.77870798339
C10orf71	4.89313633553634	0.224498205958234
RGPD1	774.847005307241	560.831974741659
H1FX	3013.23097479598	4009.87884478274
TUBGCP2	3103.87218802798	4124.99358629286
C16orf86	120.530395107581	58.3508782777668
VNN2	115.89765448301	56.8170948748244
HOMEZ	1156.56288242315	837.737770656792
TERF1	1575.28243911343	2002.47635345067
MAP1D	189.039707650328	118.510953794166
LRRC14B	2.76151339172346	8.28902994111891
LAMB2	21817.1789332789	12383.7416628878
LAMP2	12773.2612172007	19411.0074325931
TF	8550.80074362004	2466.47115099092
TMEM161A	858.973710004712	1265.15623985172
NOX5	29.7926540359046	13.6950384268877
ZNF497	113.962351407195	210.092117127006
GLYATL2	1152.56417514909	343.827384678155
ARHGEF37	2413.14355255238	1322.67625923801
CRIP1	4312.83726938262	10110.8171895486
BGLAP	61.3434446520428	114.192098979849
PDLIM5	9667.10758327153	7065.91294177292
KCTD21	1230.34383126927	895.511669155681
PIRT	2.40496103422188	0.408642921382742
HSPA5	26713.5638911384	37984.7677790855
HCFC2	1543.72294153249	1032.93162516504
PAX2	14.5833119770665	57.4457667966964
ITGA10	280.030140171521	146.566775060694
TXNDC9	1427.25006608858	2070.32482387747
